rank,Youtuber,subscribers_1000s,video_views_1000s,video count,category,started
294,Alan Becker,21200.0,4778642.967,138,Film & Animation,2006
295,BETER BÖCÜK,21200.0,12199156.419,1646,,2012
296,toyorbabytv,21200.0,15077257.674,1097,Music,2012
297,National Geographic,21200.0,5457322.297,10031,Science & Technology,2006
298,nigahiga,21100.0,4371000.114,403,Entertainment,2006
299,Disney Latinoamérica,21100.0,19918775.685,7968,Entertainment,2007
300,Rotana,21000.0,17981495.791,8251,Music,2012
301,Tasty,21000.0,5623503.841,4478,Howto & Style,2016
302,Sun TV,20900.0,17714989.536,46408,People & Blogs,2016
303,Junya.じゅんや,20900.0,12462702.324,4121,Entertainment,2020
304,Kinder Spielzeug Kanal,20900.0,10341248.488,857,Entertainment,2015
305,Canal Canalha,20800.0,1863067.607,299,Comedy,2011
306,Baim Paula,20800.0,4357559.352,2085,People & Blogs,2016
307,Vania Mania Kids,20800.0,8748170.923,914,People & Blogs,2015
308,Becky G,20800.0,10069600.015,73,Music,2011
309,5-Minute Crafts DIY,20800.0,5003849.06,4530,Howto & Style,2018
310,Netflix India,20700.0,6758518.98,3162,People & Blogs,2016
311,Tlnovelas,20700.0,14049430.225,34704,News & Politics,2013
312,Gulshan Kalra,20700.0,10010277.734,469,Howto & Style,2018
313,Alejo Igoa,20600.0,8391578.498,689,Comedy,2014
314,Brave Wilderness,20600.0,4812012.035,967,Pets & Animals,2014
315,Eva Bravo Play,20600.0,8789250.195,205,Entertainment,2019
316,Tekashi 6ix9ine,20600.0,5524568.908,25,People & Blogs,2018
317,Dr. Vivek Bindra: Motivational Speaker,20500.0,1614150.608,799,Education,2013
318,Lyrical Lemonade,20500.0,10151629.362,414,Entertainment,2013
319,Family GamesTV,20400.0,7151843.612,296,Entertainment,2016
320,mujjuu___14,20400.0,12928280.902,751,People & Blogs,2020
321,GMA Public Affairs,20400.0,12856350.732,41940,Entertainment,2009
322,Avicii,20400.0,9895727.559,150,Music,2009
323,Jake Paul,20300.0,7269595.434,951,People & Blogs,2013
324,invictor,20300.0,7872845.052,2185,Gaming,2013
325,Romeo Santos,20300.0,16165096.843,54,Music,2005
326,LazarBeam,20300.0,8612639.3,1320,Gaming,2015
327,Totoy kids - Português,20200.0,292813.599,139,Film & Animation,2014
328,SlivkiShow,20200.0,4545179.602,448,Entertainment,2012
329,BuzzFeedVideo,20200.0,17852187.572,7480,People & Blogs,2011
330,Dan Rhodes,20200.0,14400012.459,1561,Entertainment,2015
331,Mnet K-POP,20200.0,13995037.855,30900,Entertainment,2006
332,Tilak,20200.0,8134985.032,5073,Film & Animation,2020
333,Infinite,20100.0,4747351.431,1570,Entertainment,2014
334,Khan GS Research Centre,20100.0,1918274.296,353,Education,2019
335,AuthenticGames,20100.0,8892362.295,4815,Gaming,2011
336,5-Minute Crafts PLAY,20100.0,5941990.363,4973,Howto & Style,2017
337,Vevo,20000.0,553937.536,1528,Music,2006
338,Marvel Entertainment,20000.0,5438510.1,8274,Entertainment,2005
339,Fatos Desconhecidos,20000.0,3524456.687,5751,Entertainment,2013
340,Kurzgesagt – In a Nutshell,20000.0,2211560.819,171,Education,2013
341,REACT,20000.0,13043257.477,4060,Entertainment,2007
342,Pencilmation,20000.0,11123348.62,1322,Film & Animation,2007
343,Skrillex,20000.0,6454527.217,198,Music,2010
344,Pentatonix,20000.0,5949631.157,254,Music,2011
345,The Royalty Family,20000.0,5473079.258,688,People & Blogs,2017
346,Deddy Corbuzier,19900.0,4526453.979,1240,Entertainment,2009
347,Got Talent Global,19900.0,3616867.941,2041,Entertainment,2013
348,HaerteTest,19900.0,3188412.829,1307,Science & Technology,2011
349,JennaMarbles,19800.0,1786604.944,250,Comedy,2010
350,Noor Stars,19800.0,2651922.157,660,Comedy,2014
351,NBA,19800.0,11632127.172,44740,Sports,2005
352,Robin Hood Gamer,19800.0,10027055.517,3903,Entertainment,2014
353,Daniel LaBelle,19800.0,10478762.246,261,Comedy,2009
354,Ninja Kidz TV,19800.0,10166331.04,282,Entertainment,2017
355,Gordon Ramsay,19700.0,3757816.119,1404,Entertainment,2006
356,Village Cooking Channel,19700.0,5167613.828,221,Howto & Style,2018
357,Gusttavo Lima Oficial,19700.0,13008369.951,352,Music,2010
358,Linkin Park,19700.0,12510584.025,593,Music,2006
359,BabyBus - Cerita & Lagu Anak-anak,19600.0,11239971.105,751,Education,2019
361,Green Gold TV - Official Channel,19500.0,9394743.675,1169,Film & Animation,2011
362,Vlad and Niki IDN,19400.0,9094760.15,449,,2018
363,shane,19400.0,4301400.077,569,People & Blogs,2005
364,हिंदी - Genevieve's Playhouse,19400.0,10418255.057,101,Education,2018
365,Troom Troom Es,19400.0,7294737.861,2728,People & Blogs,2016
366,Sourav Joshi Vlogs,19400.0,7792879.578,1221,People & Blogs,2019
367,JukiLop,19300.0,1564048.437,85,People & Blogs,2017
368,Clash of Clans,19300.0,3794669.592,625,Gaming,2013
369,Rafa & Luiz,19300.0,7112774.946,2551,Entertainment,2015
