x,relu,sigmoid,mish,softplus
1.9000001,1.9000001,0.8698916,1.8367437,2.0393867
2.0,2.0,0.880797,1.943959,2.126928
2.1,2.1,0.8909032,2.050599,2.2155194
2.2,2.2,0.90024954,2.1566505,2.3050833
2.3,2.3,0.9088771,2.2621188,2.3955455
2.4,2.4,0.9168273,2.3670232,2.4868362
2.5,2.5,0.9241418,2.4713924,2.5788898
2.6,2.6,0.9308616,2.5752616,2.6716447
2.7,2.7,0.9370266,2.6786702,2.7650435
2.8,2.8,0.9426758,2.7816582,2.8590329
2.8999999,2.8999999,0.9478465,2.8842669,2.9535627
3.0,3.0,0.95257413,2.986535,3.0485873
3.1,3.1,0.9568927,3.0885003,3.144064
3.2,3.2,0.96083426,3.1901977,3.2399533
3.3,3.3,0.96442884,3.2916596,3.3362193
3.3999999,3.3999999,0.9677046,3.3929148,3.4328284
3.5,3.5,0.97068775,3.493991,3.5297503
3.6,3.6,0.973403,3.5949101,3.626957
3.6999998,3.6999998,0.975873,3.6956947,3.7244227
3.8,3.8,0.97811866,3.7963629,3.8221242
3.8999999,3.8999999,0.98015976,3.8969307,3.9200397
4.0,4.0,0.98201376,3.997413,4.01815
4.1,4.1,0.9836975,4.097821,4.116437
4.2,4.2,0.985226,4.198167,4.2148843
4.2999997,4.2999997,0.9866131,4.298459,4.313477
4.4,4.4,0.9878715,4.398706,4.412203
4.5,4.5,0.9890131,4.498914,4.511048
4.6,4.6,0.99004817,4.5990887,4.6100016
4.7000003,4.7000003,0.99098665,4.6992364,4.7090545
4.8,4.8,0.99183744,4.7993603,4.808196
4.9,4.9,0.9926085,4.8994646,4.907419
5.0,5.0,0.9933072,4.9995522,5.0067153
5.1,5.1,0.99394023,5.0996256,5.106078
5.2,5.2,0.99451375,5.199687,5.205501
5.2999997,5.2999997,0.99503314,5.299738,5.304979
5.3999996,5.3999996,0.9955037,5.399781,5.404506
5.5,5.5,0.9959299,5.499818,5.5040784
5.6,5.6,0.9963158,5.5998483,5.603691
5.7,5.7,0.9966652,5.699873,5.70334
5.7999997,5.7999997,0.99698156,5.799894,5.803023
5.8999996,5.8999996,0.9972681,5.899912,5.902735
6.0,6.0,0.9975274,5.9999266,6.0024757
6.1,6.1,0.9977621,6.099939,6.10224
6.2,6.2,0.9979747,6.199949,6.2020273
6.3,6.3,0.99816704,6.2999578,6.301835
6.4,6.4,0.9983412,6.399965,6.4016604
6.5,6.5,0.9984988,6.4999704,6.5015025
6.6,6.6,0.99864143,6.5999756,6.6013594
6.7,6.7,0.99877053,6.6999793,6.70123
6.8,6.8,0.9988875,6.799983,6.801113
6.9,6.9,0.9989932,6.8999863,6.901007
7.0,7.0,0.999089,6.9999886,7.0009117
7.1000004,7.1000004,0.9991756,7.099991,7.1008253
7.2000003,7.2000003,0.9992539,7.199992,7.2007465
7.3,7.3,0.9993249,7.2999935,7.3006754
7.4,7.4,0.99938905,7.3999944,7.4006114
7.5,7.5,0.99944717,7.4999957,7.500553
7.6,7.6,0.9994998,7.599996,7.6005
7.7,7.7,0.9995473,7.6999965,7.700453
7.7999997,7.7999997,0.99959046,7.799997,7.8004093
7.9,7.9,0.9996294,7.8999977,7.9003706
8.0,8.0,0.99966466,7.999998,8.000336
8.1,8.1,0.9996966,8.099998,8.100304
8.2,8.2,0.9997254,8.199998,8.200274
8.3,8.3,0.9997515,8.299999,8.300249
8.4,8.4,0.99977523,8.399999,8.400225
8.5,8.5,0.99979657,8.499999,8.500203
8.599999,8.599999,0.999816,8.599998,8.6001835
8.7,8.7,0.99983346,8.699999,8.700167
8.799999,8.799999,0.9998493,8.799998,8.80015
8.9,8.9,0.9998636,8.899999,8.900136
9.0,9.0,0.9998766,8.999999,9.000123
9.099999,9.099999,0.9998883,9.099999,9.100111
9.2,9.2,0.9998989,9.2,9.200101
9.3,9.3,0.99990857,9.3,9.300092
9.4,9.4,0.99991727,9.4,9.400083
9.5,9.5,0.99992514,9.5,9.500074
9.6,9.6,0.9999323,9.6,9.600068
9.7,9.7,0.9999387,9.7,9.700061
9.8,9.8,0.99994457,9.8,9.8000555
9.9,9.9,0.9999498,9.9,9.90005
10.0,10.0,0.9999546,10.0,10.000046
