RK,Name,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%,Year
9,J.T. MillerVAN,C,80,32,67,99,15,47,21:04,8,30,206,15.5,2069,6,668,565,54.2,7,3,42.9,2022
10,Mitchell MarnerTOR,RW,72,35,62,97,23,16,20:52,6,19,224,15.6,1744,5,10,8,55.6,1,0,0.0,2022
11,Artemi PanarinNYR,LW,75,22,74,96,21,18,19:13,5,32,177,12.4,1491,5,1,1,50.0,6,3,50.0,2022
11,Roman JosiNSH,D,80,23,73,96,13,46,25:33,11,26,281,8.2,2206,2,0,0,0.0,3,1,33.3,2022
13,Kyle ConnorWPG,LW,79,47,46,93,-3,4,21:46,8,20,317,14.8,1892,9,1,6,14.3,5,1,20.0,2022
14,Mikko RantanenCOL,RW,75,36,56,92,35,56,20:58,16,19,254,14.2,1808,2,164,189,46.5,6,2,33.3,2022
14,Patrick KaneCHI,RW,78,26,66,92,-19,18,21:49,9,22,287,9.1,1798,2,4,4,50.0,9,2,22.2,2022
16,Alex OvechkinWSH,LW,77,50,40,90,8,18,20:34,16,13,334,15.0,1680,5,4,9,30.8,5,3,60.0,2022
17,Nathan MacKinnonCOL,C,65,32,56,88,22,42,21:03,7,20,299,10.7,1579,5,383,462,45.3,5,1,20.0,2022
17,Aleksander BarkovFLA,C,67,39,49,88,36,18,20:18,12,14,214,18.2,1559,5,712,540,56.9,5,3,60.0,2022
19,Nazem KadriCOL,C,71,28,59,87,13,71,19:14,8,21,247,11.3,1601,6,585,592,49.7,4,1,25.0,2022
20,Matt DucheneNSH,C,78,43,43,86,6,38,19:00,16,13,228,18.9,1698,6,119,101,54.1,6,1,16.7,2022
20,Cale MakarCOL,D,77,28,58,86,48,26,25:40,9,25,240,11.7,2141,6,0,0,0.0,1,1,100.0,2022
22,Victor HedmanTB,D,82,20,65,85,26,36,25:04,6,32,219,9.1,2214,6,0,0,0.0,5,1,20.0,2022
22,Kevin FialaMIN,LW,82,33,52,85,23,52,17:38,5,12,262,12.6,1547,7,4,11,26.7,10,5,50.0,2022
24,Sidney CrosbyPIT,C,69,31,53,84,19,32,19:58,8,22,208,14.9,1691,9,760,690,52.4,6,1,16.7,2022
24,Filip ForsbergNSH,LW,69,42,42,84,12,22,18:05,10,17,226,18.6,1515,8,1,0,100.0,7,1,14.3,2022
24,Jake GuentzelPIT,LW,76,40,44,84,13,44,20:05,7,15,264,15.2,1825,7,13,12,52.0,9,1,11.1,2022
27,Vladimir TarasenkoSTL,RW,75,34,48,82,7,32,16:54,5,17,230,14.8,1649,9,4,7,36.4,4,0,0.0,2022
27,Elias LindholmCGY,C,82,42,40,82,61,22,19:56,10,9,235,17.9,2076,9,841,751,52.8,1,0,0.0,2022
27,Sam ReinhartFLA,C,78,33,49,82,25,13,17:45,16,15,186,17.7,1596,6,174,185,48.5,2,1,50.0,2022
30,Joe PavelskiDAL,C,82,27,54,81,11,14,18:28,12,13,216,12.5,1989,2,394,357,52.5,6,3,50.0,2022
30,Mika ZibanejadNYR,C,81,29,52,81,30,12,19:37,15,13,219,13.2,1902,3,700,638,52.3,7,3,42.9,2022
30,Sebastian AhoCAR,C,79,37,44,81,18,38,18:57,13,15,221,16.7,1818,9,555,504,52.4,0,0,0.0,2022
33,Brad MarchandBOS,LW,70,32,48,80,16,97,19:15,7,20,242,13.2,1583,6,14,27,34.1,0,0,0.0,2022
33,William NylanderTOR,RW,81,34,46,80,-9,16,18:16,13,18,256,13.3,1774,7,34,31,52.3,4,1,25.0,2022
35,Mats ZuccarelloMIN,RW,70,24,55,79,21,24,18:35,7,21,159,15.1,1327,2,21,34,38.2,8,2,25.0,2022
35,Jason RobertsonDAL,LW,74,41,38,79,16,22,18:06,13,8,220,18.6,1681,11,0,0,0.0,6,2,33.3,2022
37,Alex DeBrincatCHI,RW,82,41,37,78,-13,19,20:51,14,14,270,15.2,1895,6,24,41,36.9,5,4,80.0,2022
37,Evgeny KuznetsovWSH,C,79,24,54,78,7,44,20:16,8,19,208,11.5,1836,4,511,655,43.8,9,2,22.2,2022
39,Chris KreiderNYR,LW,81,52,25,77,19,24,18:43,26,9,258,20.2,1856,11,68,69,49.6,3,1,33.3,2022
39,David PastrnakBOS,RW,72,40,37,77,13,20,18:36,15,11,312,12.8,1463,9,7,14,33.3,3,1,33.3,2022
39,Robert ThomasSTL,C,72,20,57,77,17,16,18:46,3,11,115,17.4,1667,6,562,565,49.9,0,0,0.0,2022
42,Timo MeierSJ,RW,77,35,41,76,-3,54,19:09,12,6,326,10.7,1759,8,18,19,48.6,1,0,0.0,2022
42,John TavaresTOR,C,79,27,49,76,-8,32,18:04,10,16,237,11.4,1672,3,813,529,60.6,0,0,0.0,2022
42,Pavel BuchnevichSTL,LW,73,30,46,76,29,34,18:18,8,11,199,15.1,1643,3,13,26,33.3,0,0,0.0,2022
45,Jordan KyrouSTL,C,74,27,48,75,10,20,16:34,5,14,188,14.4,1482,4,6,9,40.0,5,1,20.0,2022
46,Adam FoxNYR,D,78,11,63,74,18,26,23:54,0,33,158,7.0,2191,2,0,0,0.0,3,1,33.3,2022
47,Jesper BrattNJ,LW,76,26,47,73,0,16,17:25,3,15,197,13.2,1749,6,0,3,0.0,8,4,50.0,2022
48,Roope HintzDAL,C,80,37,35,72,15,28,18:02,9,15,213,17.4,2027,7,357,317,53.0,2,0,0.0,2022
49,John CarlsonWSH,D,78,17,54,71,13,20,23:48,7,18,195,8.7,2064,2,0,0,0.0,3,1,33.3,2022
50,Mark ScheifeleWPG,C,67,29,41,70,-17,23,21:08,7,12,159,18.2,1500,3,430,418,50.7,6,2,33.3,2022
